A_Size, Bubble, Insertion, Merge
10000, 0.746229, 0.817997, 0.003679
20000, 3.399252, 3.181286, 0.007425
30000, 7.453921, 8.254879, 0.012807
40000, 14.154996, 12.396172, 0.015502
50000, 19.340623, 19.081050, 0.019621
60000, 28.796810, 28.451432, 0.025120
70000, 41.246437, 38.329917, 0.030220
80000, 52.654377, 50.278708, 0.032124
90000, 66.488331, 63.168041, 0.036875
100000, 79.381806, 78.092488, 0.041843
