A_Size, Bubble, Insertion, Merge
10000, 0.723356, 0.731780, 0.002288
20000, 2.841658, 2.960399, 0.004522
30000, 6.664825, 6.525093, 0.007079
40000, 11.463537, 11.389933, 0.009714
50000, 17.779166, 17.800954, 0.012271
60000, 25.658433, 25.511080, 0.014366
70000, 34.963069, 34.694445, 0.016998
80000, 45.915529, 45.544051, 0.020582
90000, 60.097730, 58.324109, 0.026248
100000, 71.477014, 70.835173, 0.025699
